code,channel_id,num,name_zh,name_pinyin,name_en,round
KI15,KI,15,中注,Zhōng Zhù,Central Flow,3
KI16,KI,16,肓俞,Huāng Shū,Huang Shu,3
KI17,KI,17,商曲,Shāng Qū,Shang Bend,3
KI18,KI,18,石关,Shí Guān,Stone Pass,3
KI19,KI,19,阴都,Yīn Dū,Yin Metropolis,3
KI20,KI,20,腹通谷,Fù Tōng Gǔ,Abdomen Valley Passage,3
KI21,KI,21,幽门,Yōu Mén,Dark Gate,3
KI22,KI,22,步廊,Bù Láng,Corridor Walk,3
KI23,KI,23,神封,Shén Fēng,Spirit Seal,3
KI24,KI,24,灵墟,Líng Xū,Spirit Ruins,3
KI25,KI,25,神藏,Shén Cáng,Spirit Storehouse,3
KI26,KI,26,彧中,Yù Zhōng,Lively Center,3
KI27,KI,27,俞府,Shū Fǔ,Shu Mansion,2
PC1,PC,1,天池,Tiān Chí,Celestial Pool,3
PC2,PC,2,天泉,Tiān Quán,Celestial Spring,3
PC3,PC,3,曲泽,Qū Zé,Marsh at the Bend,2
PC4,PC,4,郄门,Xì Mén,Cleft Gate,2
PC5,PC,5,间使,Jiān Shǐ,Intermediary Courier,3
PC6,PC,6,内关,Nèi Guān,Inner Pass,1
PC7,PC,7,大陵,Dà Líng,Great Mound,2
PC8,PC,8,劳宫,Láo Gōng,Palace of Toil,2
PC9,PC,9,中冲,Zhōng Chōng,Central Hub,2
TE1,TE,1,关冲,Guān Chōng,Passage Hub,2
TE2,TE,2,液门,Yè Mén,Humor Gate,3
TE3,TE,3,中渚,Zhōng Zhǔ,Central Islet,2
TE4,TE,4,阳池,Yáng Chí,Yang Pool,2
TE5,TE,5,外关,Wài Guān,Outer Pass,1
TE6,TE,6,支沟,Zhī Gōu,Branch Ditch,2
TE7,TE,7,会宗,Huì Zōng,Ancestral Meeting,3
TE8,TE,8,三阳络,Sān Yáng Luò,Three Yang Connection,3
TE9,TE,9,四渎,Sì Dú,Four Rivers,3
TE10,TE,10,天井,Tiān Jǐng,Celestial Well,3
TE11,TE,11,清冷渊,Qīng Lěng Yuān,Clear Cold Abyss,3
TE12,TE,12,消泺,Xiāo Luò,Dispersing Riverbed,3
TE13,TE,13,臑会,Nào Huì,Upper Arm Convergence,3
TE14,TE,14,肩髎,Jiān Liáo,Shoulder Bone-Hole,2
TE15,TE,15,天髎,Tiān Liáo,Celestial Bone-Hole,3
TE16,TE,16,天牖,Tiān Yǒu,Celestial Window,3
TE17,TE,17,翳风,Yì Fēng,Wind Screen,1
TE18,TE,18,瘈脉,Chì Mài,Spasm Vessel,3
TE19,TE,19,颅息,Lú Xī,Skull Rest,3
TE20,TE,20,角孙,Jiǎo Sūn,Angle Vertex,3
TE21,TE,21,耳门,Ěr Mén,Ear Gate,2
TE22,TE,22,耳和髎,Ěr Hé Liáo,Ear Harmony Bone-Hole,3
TE23,TE,23,丝竹空,Sī Zhú Kōng,Silk Bamboo Hollow,2
GB1,GB,1,瞳子髎,Tóng Zǐ Liáo,Pupil Bone-Hole,2
GB2,GB,2,听会,Tīng Huì,Auditory Convergence,2
GB3,GB,3,上关,Shàng Guān,Upper Gate,3
GB4,GB,4,颔厌,Hàn Yàn,Forehead Fullness,3
GB5,GB,5,悬颅,Xuán Lú,Suspended Skull,3
GB6,GB,6,悬厘,Xuán Lí,Suspended Hair,3
GB7,GB,7,曲鬓,Qū Bìn,Temporal Hairline Curve,3
GB8,GB,8,率谷,Shuài Gǔ,Valley Lead,3
GB9,GB,9,天冲,Tiān Chōng,Celestial Hub,3
GB10,GB,10,浮白,Fú Bái,Floating White,3
GB11,GB,11,头窍阴,Tóu Qiào Yīn,Head Orifice Yin,3
GB12,GB,12,完骨,Wán Gǔ,Completion Bone,3
GB13,GB,13,本神,Běn Shén,Root Spirit,3
GB14,GB,14,阳白,Yáng Bái,Yang White,2
GB15,GB,15,头临泣,Tóu Lín Qì,Head Overlooking Tears,3
GB16,GB,16,目窗,Mù Chuāng,Eye Window,3
GB17,GB,17,正营,Zhèng Yíng,Upright Construction,3
GB18,GB,18,承灵,Chéng Líng,Spirit Support,3
GB19,GB,19,脑空,Nǎo Kōng,Brain Hollow,3
GB20,GB,20,风池,Fēng Chí,Wind Pool,1
GB21,GB,21,肩井,Jiān Jǐng,Shoulder Well,1
GB22,GB,22,渊腋,Yuān Yè,Armpit Abyss,3
GB23,GB,23,辄筋,Zhé Jīn,Sinew Seat,3
GB24,GB,24,日月,Rì Yuè,Sun and Moon,2
GB25,GB,25,京门,Jīng Mén,Capital Gate,2
GB26,GB,26,带脉,Dài Mài,Girdling Vessel,2
GB27,GB,27,五枢,Wǔ Shū,Fifth Pivot,3
GB28,GB,28,维道,Wéi Dào,Linking Path,3
GB29,GB,29,居髎,Jū Liáo,Squatting Bone-Hole,3
GB30,GB,30,环跳,Huán Tiào,Jumping Circle,1
GB31,GB,31,风市,Fēng Shì,Wind Market,2
GB32,GB,32,中渎,Zhōng Dú,Central River,3
GB33,GB,33,膝阳关,Xī Yáng Guān,Knee Yang Joint,3
GB34,GB,34,阳陵泉,Yáng Líng Quán,Yang Mound Spring,1
GB35,GB,35,阳交,Yáng Jiāo,Yang Intersection,3
GB36,GB,36,外丘,Wài Qiū,Outer Hill,3
GB37,GB,37,光明,Guāng Míng,Bright Light,2
GB38,GB,38,阳辅,Yáng Fǔ,Yang Assistance,3
GB39,GB,39,悬钟,Xuán Zhōng,Suspended Bell,1
GB40,GB,40,丘墟,Qiū Xū,Hill Ruins,2
GB41,GB,41,足临泣,Zú Lín Qì,Foot Overlooking Tears,1
GB42,GB,42,地五会,Dì Wǔ Huì,Earth Fivefold Convergence,3
GB43,GB,43,侠溪,Xiá Xī,Pinched Ravine,2
GB44,GB,44,足窍阴,Zú Qiào Yīn,Foot Orifice Yin,3
LR1,LR,1,大敦,Dà Dūn,Large Pile,2
LR2,LR,2,行间,Xíng Jiān,Moving Between,1
LR3,LR,3,太冲,Tài Chōng,Supreme Surge,1
LR4,LR,4,中封,Zhōng Fēng,Mound Center,3
LR5,LR,5,蠡沟,Lí Gōu,Woodworm Canal,2
LR6,LR,6,中都,Zhōng Dū,Central Metropolis,3
LR7,LR,7,膝关,Xī Guān,Knee Joint,3
LR8,LR,8,曲泉,Qū Quán,Spring at the Bend,2
LR9,LR,9,阴包,Yīn Bāo,Yin Bladder,3
LR10,LR,10,足五里,Zú Wǔ Lǐ,Leg Five Li,3
LR11,LR,11,阴廉,Yīn Lián,Yin Corner,3
LR12,LR,12,急脉,Jí Mài,Urgent Pulse,3
LR13,LR,13,章门,Zhāng Mén,Completion Gate,2
LR14,LR,14,期门,Qī Mén,Cycle Gate,1
CV1,CV,1,会阴,Huì Yīn,Meeting of Yin,3
CV2,CV,2,曲骨,Qū Gǔ,Curved Bone,3
CV3,CV,3,中极,Zhōng Jí,Central Pole,1
CV4,CV,4,关元,Guān Yuán,Origin Pass,1
CV5,CV,5,石门,Shí Mén,Stone Gate,3
CV6,CV,6,气海,Qì Hǎi,Sea of Qi,1
CV7,CV,7,阴交,Yīn Jiāo,Yin Intersection,3
CV8,CV,8,神阙,Shén Què,Spirit Gate Tower,2
CV9,CV,9,水分,Shuǐ Fēn,Water Divide,2
CV10,CV,10,下脘,Xià Wǎn,Lower Venter,3
CV11,CV,11,建里,Jiàn Lǐ,Interior Strengthening,3
CV12,CV,12,中脘,Zhōng Wǎn,Central Venter,1
CV13,CV,13,上脘,Shàng Wǎn,Upper Venter,3
CV14,CV,14,巨阙,Jù Què,Great Tower Gate,2
CV15,CV,15,鸠尾,Jiū Wěi,Turtledove Tail,3
CV16,CV,16,中庭,Zhōng Tíng,Central Courtyard,3
CV17,CV,17,膻中,Dàn Zhōng,Chest Center,1
CV18,CV,18,玉堂,Yù Táng,Jade Hall,3
CV19,CV,19,紫宫,Zǐ Gōng,Purple Palace,3
CV20,CV,20,华盖,Huá Gài,Florid Canopy,3
CV21,CV,21,璇玑,Xuán Jī,Jade Pivot,3
CV22,CV,22,天突,Tiān Tū,Celestial Chimney,1
CV23,CV,23,廉泉,Lián Quán,Ridge Spring,2
CV24,CV,24,承浆,Chéng Jiāng,Sauce Receptacle,2
GV1,GV,1,长强,Cháng Qiáng,Long Strong,2
GV2,GV,2,腰俞,Yāo Shū,Lumbar Shu,3
GV3,GV,3,腰阳关,Yāo Yáng Guān,Lumbar Yang Joint,2
GV4,GV,4,命门,Mìng Mén,Life Gate,1
GV5,GV,5,悬枢,Xuán Shū,Suspended Pivot,3
GV6,GV,6,脊中,Jǐ Zhōng,Spinal Center,3
GV7,GV,7,中枢,Zhōng Shū,Central Pivot,3
GV8,GV,8,筋缩,Jīn Suō,Sinew Contraction,3
GV9,GV,9,至阳,Zhì Yáng,Reaching Yang,2
GV10,GV,10,灵台,Líng Tái,Spirit Tower,3
GV11,GV,11,神道,Shén Dào,Spirit Path,3
GV12,GV,12,身柱,Shēn Zhù,Body Pillar,3
GV13,GV,13,陶道,Táo Dào,Kiln Path,3
GV14,GV,14,大椎,Dà Zhuī,Great Hammer,1
GV15,GV,15,哑门,Yǎ Mén,Mute's Gate,2
GV16,GV,16,风府,Fēng Fǔ,Wind Mansion,1
GV17,GV,17,脑户,Nǎo Hù,Brain Door,3
GV18,GV,18,强间,Qiáng Jiān,Unyielding Space,3
GV19,GV,19,后顶,Hòu Dǐng,Behind the Vertex,3
GV20,GV,20,百会,Bǎi Huì,Hundred Convergences,1
GV21,GV,21,前顶,Qián Dǐng,Before the Vertex,3
GV22,GV,22,囟会,Xìn Huì,Fontanelle Meeting,3
GV23,GV,23,上星,Shàng Xīng,Upper Star,2
GV24,GV,24,神庭,Shén Tíng,Spirit Courtyard,2
GV25,GV,25,素髎,Sù Liáo,White Bone-Hole,2
GV26,GV,26,水沟,Shuǐ Gōu,Water Trough,1
GV27,GV,27,兑端,Duì Duān,Extremity of the Mouth,3
GV28,GV,28,龈交,Yín Jiāo,Gum Intersection,3
